terminal_id,terminal_abbreviation,terminal_name,terminal_address,city,state,latitude,longitude,is_diesel_wet,updated_at,terminal_abreviation
T-75-TX-2665,null,Aledo Magellan,6000 I H 20,Aledo,TX,32.696,-97.60502,0,2026-05-22 20:42:54.346673+00,ALE
T-73-OK-2600,null,Ardmore,1 Valero Way,Ardmore,OK,34.20397,-97.11028,0,2026-05-22 20:42:54.346673+00,ARD
CALLDIS,null,Call KAG Dispatch,3900 Singleton Blvd.,Dallas,TX,32.77693,-96.88479,0,2026-05-22 20:42:54.346673+00,NYD
T-02-TX-0002,null,CITGO Brownsville,1101 Ostos Rd,Brownsville,TX,25.9589,-97.37048,0,2026-05-22 20:42:54.346673+00,CBW
T-03-TX-0003,null,Cresson,11925 County Road 917,Cresson,TX,32.52991,-97.61153,1,2026-05-22 20:42:54.346673+00,CR1
T-04-TX-0004,null,Cresson Bio,11920 CR 917,Cresson,TX,32.5305,-97.61292,1,2026-05-22 20:42:54.346673+00,WC2
T-75-TX-2661,null,Dallas Magellan,4200 Singleton Boulevard,Dallas,TX,32.77651,-96.88933,0,2026-05-22 20:42:54.346673+00,DL3
T-06-TX-0006,null,Delek Center,377 Texas 87 S,Center,TX,31.79738,-94.14378,0,2026-05-22 20:42:54.346673+00,CEN
T-07-TX-0007,null,Delek Mt Pleasant,1503 W. Ferguson Rd,Mt. Pleasant,TX,33.15668,-94.9841,0,2026-05-22 20:42:54.346673+00,DMP
T-08-TX-0008,null,Delek Renewables Cleburne,3102 Windmill Road,Cleburne,TX,32.39919,-97.42934,0,2026-05-22 20:42:54.346673+00,DEL
T-75-TX-2690,null,Direct Fuels LLC,12625 Calloway Cemetary Rd,Euless,TX,32.81122,-97.09197,0,2026-05-22 20:42:54.346673+00,EU2
T-10-TX-0010,null,El Dorado Delek,1000 Mc Henry St,El Dorado,AR,33.20152,-92.67375,0,2026-05-22 20:42:54.346673+00,EL
T-75-TX-2664,null,Euless Flint Hills,12550 Trinity Blvd,Euless,TX,32.81628,-97.09532,0,2026-05-22 20:42:54.346673+00,EU1
T-12-TX-0012,null,Euless Kinder Morgan,4500 Euless South Main St,Euless,TX,32.82213,-97.08223,0,2026-05-22 20:42:54.346673+00,EU3
T-13-TX-0013,null,Fikes Waco Terminal,1600 S Loop Drive,Waco,TX,31.56258,-97.09967,0,2026-05-22 20:42:54.346673+00,WC3
T-14-TX-0014,null,Frost Magellan,21115 TX-22,Frost,TX,32.06557,-96.86358,0,2026-05-22 20:42:54.346673+00,FRO
T-75-TX-2666,null,Ft Worth Chevron,2525 Brennan Street,Fort Worth,TX,32.79011,-97.3285,0,2026-05-22 20:42:54.346673+00,FW3
T-75-TX-2669,null,Ft Worth Motiva,3200 N. Sylvania,Fort Worth,TX,32.80074,-97.30738,0,2026-05-22 20:42:54.346673+00,FW1
T-01-TX-0001,null,Global Dallas,3900 Singleton Blvd.,Dallas,TX,32.77693,-96.88479,0,2026-05-22 20:42:54.346673+00,DL1
T-74-TX-2702,null,Global Hearne,1713 S Market St,Hearne,TX,30.86993,-96.58642,0,2026-05-22 20:42:54.346673+00,HRN
T-75-TX-2660,null,Irving Exxon,1201 East Airport Freeway,Irving,TX,32.83987,-96.93535,0,2026-05-22 20:42:54.346673+00,IRV
T-75-TX-2662,null,Motiva Enterprises LLC,3900 Singleton Blvd.,Dallas,TX,32.77693,-96.88479,0,2026-05-22 20:42:54.346673+00,DL1
T-17-TX-0017,null,Musket,5101 Lone Star Blvd,Ft Worth,TX,32.82677,-97.33074,0,2026-05-22 20:42:54.346673+00,FW5
T-18-TX-0018,null,Musket Bio Top Tech Syste,600 Meacham Blvd,Ft Worth,TX,32.82445,-97.34932,0,2026-05-22 20:42:54.346673+00,FW5
T-19-TX-0019,null,MVP PASADENA,3449 PASADENA FWY,PASADENA,TX,29.71266,-95.16002,0,2026-05-22 20:42:54.346673+00,MVP
T-75-TX-2667,null,Noble Petro Inc - Ft. Wor,301 Terminal Road,Fort Worth,TX,32.81955,-97.34847,0,2026-05-22 20:42:54.346673+00,FW2
T-00-00-0000,null,Not Determined,12625 Calloway Cemetary Rd,Euless,TX,32.81122,-97.09197,0,2026-05-22 20:42:54.346673+00,NYD
T-20-TX-0020,null,Odessa Magellan,2700 S Grandview Ave,Odessa,TX,31.82744,-102.33087,0,2026-05-22 20:42:54.346673+00,OD
T-21-TX-0021,null,OKC Magellan,251 N Sunnylane Rd, Oklahoma City,OK,35.3395,-97.4415,0,2026-05-22 20:42:54.346673+00,OKC
T-22-TX-0022,null,ORDER REQUEST,3900 Singleton Blvd.,Dallas,TX,32.77693,-96.88479,0,2026-05-22 20:42:54.346673+00,NYD
T-76-TX-2782,null,Pasadena Motiva,1320 West Shaw Avenue,Pasadena,TX,29.71372,-95.22541,0,2026-05-22 20:42:54.346673+00,PAS
T-75-TX-2671,null,Southlake Magellan,3100 Highway 26 West,Grapevine,TX,32.92009,-97.11657,0,2026-05-22 20:42:54.346673+00,GRP
T-75-TX-2680,null,Southlake Nustar,1700 Mustang Ct,Southlake,TX,32.91867,-97.12203,0,2026-05-22 20:42:54.346673+00,SOU
T-23-TX-0023,null,Sunoc Waskom,1100 Elysian Fields Rd,Waskom,TX,32.46634,-94.06839,0,2026-05-22 20:42:54.346673+00,SW
T-75-TX-2659,null,Sunoco Caddo LLC,2738 County Rd 2168,Caddo Mills,TX,33.03521,-96.19704,0,2026-05-22 20:42:54.346673+00,CAD
T-24-TX-0024,null,Sunoco Center,377 Texas 87 S.,Center,TX,31.79738,-94.14378,0,2026-05-22 20:42:54.346673+00,SC
T-25-TX-0025,null,Targray Suncoast Terminal,2717 E Main,Grand Prairie,TX,32.74903,-96.96515,0,2026-05-22 20:42:54.346673+00,GRA
T-75-TX-2681,null,Tyler Delek,425 McMurrey Dr,Tyler,TX,32.35517,-95.28,0,2026-05-22 20:42:54.346673+00,TYL
T-26-TX-0026,null,US Oil,2525 Brennan Street,Fort Worth,TX,32.79011,-97.3285,0,2026-05-22 20:42:54.346673+00,US1
T-75-TX-2697,null,US OIL Melissa,4160 CR 420,Melissa,TX,33.26615,-96.58917,0,2026-05-22 20:42:54.346673+00,US2
T-27-TX-0027,null,VICNRG LLC Dallas,5252 Norwood Road,Dallas,TX,32.81322,-96.88916,0,2026-05-22 20:42:54.346673+00,DL2
T-28-TX-0028,null,VICNRG LLC FTW,2101 Terminal Rd,Fort Worth,TX,32.81776,-97.3298,0,2026-05-22 20:42:54.346673+00,FW4
T-74-TX-2707,null,Waco Flint HIlls,2017 Kendall Lane,Waco,TX,31.56657,-97.09979,0,2026-05-22 20:42:54.346673+00,WC1
T-74-TX-2705,null,Waco Motiva,420 South Lacy Lake Road,Waco,TX,31.61492,-97.10864,0,2026-05-22 20:42:54.346673+00,WC2
T-29-TX-0029,null,White Energy,2698 US-70,Plainview,TX,34.18531,-101.73637,0,2026-05-22 20:42:54.346673+00,WE
T-30-TX-0030,null,White Energy-HF,3748 S. Progressive Rd,Hereford,TX,34.82849,-102.36796,0,2026-05-22 20:42:54.346673+00,WE2
T-15-TX-0015,FWCARG,Ft Worth Cargill,509 E Northside Dr,Fort Worth,TX,32.77873,-97.34217,0,2026-05-26 16:58:38.202613+00,null
